User;Genre;Conf;Storytelling;Rhythm;Movements;Public Involvment;Use of space;Human characterization;Human reproducibility;
NONE;4;0;1;1;3;1;3;2;5;
NONE;4;1;2;2;3;3;3;2;5;
NONE;4;2;5;4;3;4;3;4;5;
NONE;5;0;1;1;3;1;3;2;5;
NONE;5;1;3;2;3;3;3;3;5;
NONE;5;2;4;5;3;5;2;4;5;
none;4;0;3;4;4;5;4;3;5;
none;4;1;4;5;5;5;4;4;4;
none;4;2;4;5;5;5;5;5;4;
none;5;0;3;3;4;3;4;3;4;
none;5;1;3;5;5;4;4;5;5;
none;5;2;4;5;5;4;4;5;5;
None;3;0;1;2;3;2;3;3;3;
None;3;1;2;3;3;3;3;3;4;
None;3;2;4;4;3;4;3;4;4;
None;5;0;2;2;3;1;3;2;5;
None;5;1;2;3;3;1;3;3;5;
None;5;2;3;4;3;4;3;4;5;
NONE;1;0;2;2;4;2;3;2;5;
NONE;1;1;3;4;3;3;3;3;5;
NONE;1;2;4;5;3;4;3;4;5;
NONE;2;0;2;2;2;2;2;2;4;
NONE;2;1;2;2;2;3;2;2;4;
NONE;2;2;2;4;2;4;2;2;4;
None;1;0;3;3;3;3;3;3;4;
None;1;1;4;4;3;4;3;4;4;
None;1;2;5;5;4;5;3;4;5;
None;2;0;3;3;3;3;3;3;4;
None;2;1;3;3;2;3;3;3;4;
None;2;2;5;5;3;5;3;4;4;
NONE;1;0;2;2;3;2;3;2;5;
NONE;1;1;2;3;3;3;3;4;4;
NONE;1;2;4;4;2;4;4;4;5;
NONE;2;0;2;1;2;2;2;2;4;
NONE;2;1;2;3;2;3;2;3;4;
NONE;2;2;4;4;3;3;3;3;4;
none;1;0;2;1;3;1;3;2;5;
none;1;1;1;3;3;2;3;2;5;
none;1;2;4;4;3;4;3;4;3;
none;2;0;1;2;3;2;3;2;4;
none;2;1;2;1;3;2;3;2;5;
none;2;2;4;4;3;4;2;4;5;
none;3;0;2;2;3;2;3;2;4;
none;3;1;2;1;3;2;3;3;4;
none;3;2;4;4;3;4;3;4;4;
none;4;0;2;2;3;2;3;2;4;
none;4;1;3;2;3;2;3;2;4;
none;4;2;4;4;3;4;3;4;5;
NONE;4;0;2;3;3;2;3;3;5;
NONE;4;1;4;3;3;3;3;3;4;
NONE;4;2;4;5;3;4;3;5;5;
NONE;5;0;3;2;3;2;3;3;5;
NONE;5;1;3;3;3;3;3;3;5;
NONE;5;2;4;4;3;4;4;4;5;
none;4;0;2;2;3;3;4;2;2;
none;4;1;3;2;4;3;4;3;4;
none;4;2;4;4;2;4;2;3;4;
none;5;0;2;2;4;2;4;3;4;
none;5;1;2;3;4;3;4;3;4;
none;5;2;4;4;2;4;2;4;4;
none;4;0;2;1;3;2;3;2;4;
none;4;1;3;3;3;3;3;3;4;
none;4;2;4;4;2;4;2;4;4;
none;5;0;2;2;3;3;4;4;5;
none;5;1;3;3;4;1;4;3;5;
none;5;2;2;4;2;4;2;4;5;
NONE;3;0;2;2;4;2;4;4;5;
NONE;3;1;3;3;4;3;4;4;5;
NONE;3;2;3;4;4;4;4;5;5;
NONE;5;0;3;3;4;3;3;3;4;
NONE;5;1;3;3;4;3;3;4;4;
NONE;5;2;4;4;4;4;4;4;5;
657473130ca9807d09ffe41b;1;0;5;3;3;4;3;4;2;
657473130ca9807d09ffe41b;1;1;2;3;3;1;2;2;3;
657473130ca9807d09ffe41b;1;2;3;3;2;2;2;4;3;
657473130ca9807d09ffe41b;5;0;4;4;2;3;4;4;2;
657473130ca9807d09ffe41b;5;1;4;4;2;3;4;4;2;
657473130ca9807d09ffe41b;5;2;5;3;3;3;3;4;4;
